Année,Semestre,Région mondiale,Pays,Division administrative,Maladie,Génotype/sérotype/sous-type,Catégorie animale,Event_id,Espèce,Outbreak_id,Nouveaux foyers,Sensibles,Unités de mesure,Cas,Mis à mort et éliminés,Abattus/mis a mort à des fins commerciales,Morts,Vaccinés
2002,Jan-Jui 2002,Asie,Cambodge,"Basedth","Fièvre aphteuse  (Inf. par le virus de la)","O",Domestique,7277,"Bovins",192719,1,-,Animal,9,-,-,1,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Eastern Cape Province","Anaplasmose bovine","",Domestique,-,"Bovins",-,-,4907,Animal,121,0,0,9,38
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Eastern Cape Province","Anaplasmose bovine","",Domestique,-,"Caprins",-,-,-,Animal,12,0,0,0,0
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Eastern Cape Province","Anaplasmose bovine","",Tous,-,"",-,46,-,-,-,-,-,-,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Eastern Cape Province","Babésiose bovine","",Domestique,-,"Bovins",-,-,4715,Animal,251,0,0,36,7
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Eastern Cape Province","Babésiose bovine","",Tous,-,"",-,40,-,-,-,-,-,-,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Eastern Cape Province","Brucella abortus (Inf. à)","",Domestique,-,"Bovins",-,-,1246,Animal,154,60,0,1,238
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Eastern Cape Province","Brucella abortus (Inf. à)","",Tous,-,"",-,9,-,-,-,-,-,-,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Eastern Cape Province","Campylobactériose génitale bovine","",Domestique,-,"Bovins",-,-,-,Animal,2,0,0,0,0
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Eastern Cape Province","Campylobactériose génitale bovine","",Tous,-,"",-,1,-,-,-,-,-,-,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Eastern Cape Province","Chrysomya bezziana (Inf. à) (Myiase à Chrysomya bezziana)","",Domestique,-,"Bovins",-,-,-,Animal,330,0,0,0,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Eastern Cape Province","Chrysomya bezziana (Inf. à) (Myiase à Chrysomya bezziana)","",Tous,-,"",-,22,-,-,-,-,-,-,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Eastern Cape Province","Cowdriose","",Domestique,-,"Bovins",-,-,7880,Animal,170,1,0,30,0
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Eastern Cape Province","Cowdriose","",Domestique,-,"Ovins",-,-,2331,Animal,42,0,0,16,0
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Eastern Cape Province","Cowdriose","",Domestique,-,"Caprins",-,-,1666,Animal,57,0,0,22,0
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Eastern Cape Province","Cowdriose","",Tous,-,"",-,88,-,-,-,-,-,-,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Eastern Cape Province","Dermatose nodulaire contagieuse (Inf. par le virus de la)","",Domestique,-,"Bovins",-,-,-,Animal,34,0,0,1,214
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Eastern Cape Province","Dermatose nodulaire contagieuse (Inf. par le virus de la)","",Tous,-,"",-,9,-,-,-,-,-,-,-
