iso3,year,esperance_vie,medecins,uhc,vaccination_dtp3,sante_mentale,services_veterinaires,maladies_animales,vaccination_animale,bien_etre_animal,faune_sauvage,qualite_air,qualite_eau,biodiversite,couverture_forestiere,traitement_eaux_usees,liberte_presse,surveillance_epidemiologique,partage_donnees,preparation_pandemies,gestion_crises
ABW,2000,72.939,,,,,,,,,,,,,2.33333333333333,,,,,,
ABW,2010,74.297,,,,,,,,,,,,,2.33333333333333,,,,,,
ABW,2020,75.406,,,,,,,,,,,,,2.33333333333333,,,,,,
ABW,2026,76.5,,,,,,,,,,,,,2.33333333333333,,,,,,
AFG,2000,55.005,,,,,,,,,,,,,1.85278199408184,,,,,,
AFG,2010,60.702,,,,,,,,,,,,,1.85278199408184,,,,,,
AFG,2020,61.454,,,,,,,,,,,,,1.85278199408184,,,,,,
AFG,2026,66.289,,,,,,,,,,,,,1.85278199408184,,,,,,
AGO,2000,46.501,,,,,,,,,,,,,62.3314430095452,,,,,,
AGO,2010,57.242,,,,,,,,,,,,,57.8792010908799,,,,,,
AGO,2020,63.116,,,,,,,,,,,,,53.4269511510388,,,,,,
AGO,2026,64.805,,,,,,,,,,,,,52.0912696719339,,,,,,
ALB,2000,74.826,,,,,,,,,,,,,28.0766423357664,,,,,,
ALB,2010,78.414,,,,,,,,,,,,,28.542700729927,,,,,,
ALB,2020,77.824,,,,,,,,,,,,,28.7919708029197,,,,,,
ALB,2026,79.776,,,,,,,,,,,,,28.7919708029197,,,,,,
AND,2000,81.863,,,,,,,,,,,,,34.0425531914894,,,,,,
AND,2010,84.197,,,,,,,,,,,,,34.0425531914894,,,,,,
AND,2020,79.418,,,,,,,,,,,,,34.0425531914894,,,,,,
AND,2026,84.188,,,,,,,,,,,,,34.0425531914894,,,,,,
ARE,2000,,,,,,,,,,,,,,4.35694170656153,,,,,,
ARE,2010,,,,,,,,,,,,,,4.46775556181357,,,,,,
ARE,2020,,,,,,,,,,,,,,4.46775556181357,,,,,,
ARE,2026,,,,,,,,,,,,,,4.46775556181357,,,,,,
ARG,2000,73.91,,,,,,,,,,,,,12.1964855354461,,,,,,
ARG,2010,75.68,,,,,,,,,,,,,11.0403443575999,,,,,,
ARG,2020,75.878,,,,,,,,,,,,,10.4407148781923,,,,,,
ARG,2026,77.543,,,,,,,,,,,,,10.3212951412107,,,,,,
ARM,2000,72.8804878048781,,,,,,,,,,,,,11.6838777660695,,,,,,
ARM,2010,73.1731707317073,,,,,,,,,,,,,11.610818405339,,,,,,
ARM,2020,73.3756097560976,,,,,,,,,,,,,11.6489422255448,,,,,,
ARM,2026,78.319512195122,,,,,,,,,,,,,11.6183158247114,,,,,,
ASM,2000,71.443,,,,,,,,,,,,,88.65,,,,,,
ASM,2010,72.587,,,,,,,,,,,,,87.15,,,,,,
ASM,2020,72.672,,,,,,,,,,,,,85.65,,,,,,
ASM,2026,72.992,,,,,,,,,,,,,85.2,,,,,,
ATG,2000,74.819,,,,,,,,,,,,,21.4772727272727,,,,,,
ATG,2010,76.701,,,,,,,,,,,,,19.9545454545455,,,,,,
ATG,2020,77.161,,,,,,,,,,,,,18.4545454545455,,,,,,
ATG,2026,77.766,,,,,,,,,,,,,18.0134090909091,,,,,,
AUS,2000,79.2341463414634,,,,,,,,,,,,,17.1581557606446,,,,,,
AUS,2010,81.6951219512195,,,,,,,,,,,,,16.862931674108,,,,,,
AUS,2020,83.2,,,,,,,,,,,,,17.4213145571644,,,,,,
AUS,2026,83.0512195121951,,,,,,,,,,,,,17.4213145571644,,,,,,
AUT,2000,78.1268292682927,,,,,,,,,,,,,46.5116335433834,,,,,,
AUT,2010,80.5804878048781,,,,,,,,,,,,,46.8153174987882,,,,,,
AUT,2020,81.1926829268293,,,,,,,,,,,,,47.137905962191,,,,,,
AUT,2026,81.9951219512195,,,,,,,,,,,,,47.2402653902084,,,,,,
AZE,2000,65.377,,,,,,,,,,,,,11.9510925488772,,,,,,
AZE,2010,70.309,,,,,,,,,,,,,12.4914658343012,,,,,,
AZE,2020,70.312,,,,,,,,,,,,,13.6941896764514,,,,,,
AZE,2026,74.576,,,,,,,,,,,,,14.1119540229885,,,,,,
BDI,2000,,,,,,,,,,,,,,7.55218068535826,,,,,,
BDI,2010,,,,,,,,,,,,,,7.55218068535826,,,,,,
BDI,2020,,,,,,,,,,,,,,10.8894080996885,,,,,,
BDI,2026,,,,,,,,,,,,,,10.8894080996885,,,,,,
BEL,2000,77.7219512195122,,,,,,,,,,,,,21.9991428477236,,,,,,
BEL,2010,80.1829268292683,,,,,,,,,,,,,22.7432169584281,,,,,,
BEL,2020,80.6951219512195,,,,,,,,,,,,,22.604446776415,,,,,,
BEL,2026,82.3,,,,,,,,,,,,,22.604446776415,,,,,,
BEN,2000,56.594,,,,,,,,,,,,,36.6721355090458,,,,,,
BEN,2010,58.387,,,,,,,,,,,,,32.2379389854558,,,,,,
BEN,2020,60.154,,,,,,,,,,,,,27.8037424618659,,,,,,
BEN,2026,60.961,,,,,,,,,,,,,26.4734835047889,,,,,,
BFA,2000,,,,,,,,,,,,,,26.3760964912281,,,,,,
BFA,2010,,,,,,,,,,,,,,24.5486111111111,,,,,,
BFA,2020,,,,,,,,,,,,,,22.7207602339181,,,,,,
BFA,2026,,,,,,,,,,,,,,22.172514619883,,,,,,
BGD,2000,62.049,,,,,,,,,,,,,14.7524629330875,,,,,,
BGD,2010,68.009,,,,,,,,,,,,,14.5067373434739,,,,,,
BGD,2020,71.421,,,,,,,,,,,,,14.4687716063609,,,,,,
BGD,2026,74.93,,,,,,,,,,,,,14.4899215263887,,,,,,
BGR,2000,,,,,,,,,,,,,,30.507095724487,,,,,,
BGR,2010,,,,,,,,,,,,,,34.4233603537214,,,,,,
BGR,2020,,,,,,,,,,,,,,35.8603537214444,,,,,,
BGR,2026,,,,,,,,,,,,,,36.2196020633751,,,,,,
BHR,2000,74.673,,,,,,,,,,,,,0.52112676056338,,,,,,
BHR,2010,78.593,,,,,,,,,,,,,0.68241469816273,,,,,,
BHR,2020,78.683,,,,,,,,,,,,,0.89171974522293,,,,,,
BHR,2026,81.423,,,,,,,,,,,,,0.95,,,,,,
BHS,2000,72.481,,,,,,,,,,,,,50.9350649350649,,,,,,
BHS,2010,73.449,,,,,,,,,,,,,50.9350649350649,,,,,,
BHS,2020,72.994,,,,,,,,,,,,,50.9350649350649,,,,,,
BHS,2026,74.71,,,,,,,,,,,,,50.9350649350649,,,,,,
BIH,2000,75.292,,,,,,,,,,,,,41.2431640625,,,,,,
BIH,2010,76.827,,,,,,,,,,,,,41.067578125,,,,,,
BIH,2020,76.04,,,,,,,,,,,,,42.7326171875,,,,,,
BIH,2026,78.044,,,,,,,,,,,,,42.7326171875,,,,,,
BLR,2000,68.9121951219512,,,,,,,,,,,,,40.78423252879,,,,,,
BLR,2010,70.4048780487805,,,,,,,,,,,,,42.5328483701491,,,,,,
BLR,2020,72.1385609756098,,,,,,,,,,,,,43.1944033894965,,,,,,
BLR,2026,74.3653414634147,,,,,,,,,,,,,43.4080686559958,,,,,,
BLZ,2000,68.911,,,,,,,,,,,,,63.9763261727313,,,,,,
BLZ,2010,70.875,,,,,,,,,,,,,60.9991231915826,,,,,,
BLZ,2020,71.58,,,,,,,,,,,,,55.9864094695309,,,,,,
BLZ,2026,73.739,,,,,,,,,,,,,54.5186321788689,,,,,,
BMU,2000,78.251,,,,,,,,,,,,,18.5185185185185,,,,,,
BMU,2010,79.414,,,,,,,,,,,,,18.5185185185185,,,,,,
BMU,2020,81.456,,,,,,,,,,,,,18.5185185185185,,,,,,
BMU,2026,82.49,,,,,,,,,,,,,18.5185185185185,,,,,,
BOL,2000,62.057,,,,,,,,,,,,,50.8643865965107,,,,,,
BOL,2010,66.003,,,,,,,,,,,,,49.0039785839564,,,,,,
BOL,2020,62.906,,,,,,,,,,,,,46.9249146127573,,,,,,
BOL,2026,68.739,,,,,,,,,,,,,46.3457431920982,,,,,,
BRA,2000,69.584,,,,,,,,,,,,,65.9343586013156,,,,,,
BRA,2010,73.779,,,,,,,,,,,,,61.2074815688658,,,,,,
BRA,2020,74.506,,,,,,,,,,,,,59.4174780513368,,,,,,
BRA,2026,76.023,,,,,,,,,,,,,58.9818729765235,,,,,,
BRB,2000,74.58,,,,,,,,,,,,,14.6511627906977,,,,,,
BRB,2010,75.488,,,,,,,,,,,,,14.6511627906977,,,,,,
BRB,2020,76.647,,,,,,,,,,,,,14.6511627906977,,,,,,
BRB,2026,76.332,,,,,,,,,,,,,14.6511627906977,,,,,,
BRN,2000,,,,,,,,,,,,,,75.3320683111954,,,,,,
BRN,2010,74.82,,,,,,,,,,,,,72.1062618595825,,,,,,
BRN,2020,75.114,,,,,,,,,,,,,72.1062618595825,,,,,,
BRN,2026,75.501,,,,,,,,,,,,,72.1062618595825,,,,,,
BTN,2000,61.842,,,,,,,,,,,,,65.4773869346734,,,,,,
BTN,2010,68.765,,,,,,,,,,,,,70.9733189915261,,,,,,
BTN,2020,72.253,,,,,,,,,,,,,71.4472994231778,,,,,,
BTN,2026,73.262,,,,,,,,,,,,,71.60513896172,,,,,,
BWA,2000,52.263,,,,,,,,,,,,,31.0918779665802,,,,,,
BWA,2010,59.137,,,,,,,,,,,,,29.0044642069416,,,,,,
BWA,2020,67.643,,,,,,,,,,,,,26.9170504473029,,,,,,
BWA,2026,69.293,,,,,,,,,,,,,26.2908263194114,,,,,,
CAF,2000,,,,,,,,,,,,,,36.7636200199043,,,,,,
CAF,2010,,,,,,,,,,,,,,36.282063629651,,,,,,
CAF,2020,,,,,,,,,,,,,,35.8005072393977,,,,,,
CAF,2026,,,,,,,,,,,,,,35.6560403223217,,,,,,
CAN,2000,,,,,,,,,,,,,,38.7929818338782,,,,,,
CAN,2010,,,,,,,,,,,,,,38.7394705758349,,,,,,
CAN,2020,,,,,,,,,,,,,,38.6955125094946,,,,,,
CAN,2026,,,,,,,,,,,,,,39.4617117321106,,,,,,
CHE,2000,,,,,,,,,,,,,,30.2649701705926,,,,,,
CHE,2010,,,,,,,,,,,,,,31.2482719393317,,,,,,
CHE,2020,,,,,,,,,,,,,,32.1215359394659,,,,,,
CHE,2026,,,,,,,,,,,,,,32.3827380818297,,,,,,
CHI,2000,,,,,,,,,,,,,,4.19191919191919,,,,,,
CHI,2010,,,,,,,,,,,,,,5.15151515151515,,,,,,
CHI,2020,,,,,,,,,,,,,,5.15151515151515,,,,,,
CHI,2026,,,,,,,,,,,,,,5.15151515151515,,,,,,
