iso3,year,esperance_vie,medecins,uhc,vaccination_dtp3,sante_mentale,services_veterinaires,maladies_animales,vaccination_animale,bien_etre_animal,faune_sauvage,qualite_air,qualite_eau,biodiversite,couverture_forestiere,traitement_eaux_usees,liberte_presse,surveillance_epidemiologique,partage_donnees,preparation_pandemies,gestion_crises
ABW,2000,72.939,,,,,,,,,,,,,2.33333333333333,,,,,,
ABW,2010,74.297,,,,,,,,,,,,,2.33333333333333,,,,,,
ABW,2020,75.406,,,,,,,,,,,,0.1,2.33333333333333,,,,,,
ABW,2026,76.5,,,,,,,,,,,,0.6,2.33333333333333,,,,,,
AFG,2000,55.005,,30.0,,4.356147964,,,,,,,11.4830526030791,,1.85278199408184,,,,,,
AFG,2010,60.702,0.244,38.0,,3.588784877,,1362,25.97,,0,86.20626147,19.2247217350889,,1.85278199408184,,,,,,
AFG,2020,61.454,0.253,42.0,,3.493914076,,6,17.05,,0,58.063316432,27.5559340461558,3.6,1.85278199408184,,37.7,,,,
AFG,2026,66.289,0.317,42.0,,3.5954195,,6,17.05,,0,55.557514623,30.5547223111169,3.6,1.85278199408184,6.056743145,40.19,,,,
AGO,2000,46.501,,28.0,,9.115151343,,,,,,,,,62.3314430095452,,,,,,
AGO,2010,57.242,,38.0,,6.894683985,,28,47.11,,0,20.170443057,,,57.8792010908799,,,,,,
AGO,2020,63.116,,43.0,,7.409206153,,0,90.91,,0,21.262427852,,5.0,53.4269511510388,,33.92,,,,
AGO,2026,64.805,0.244,44.0,,8.113778244,,0,90.91,,0,22.902986103,,7.7,52.0912696719339,,34.06,,,,
ALB,2000,74.826,1.366,56.0,,4.780499812,,,,,,,49.1383199670447,,28.0766423357664,,,,,,
ALB,2010,78.414,1.243,58.0,,6.765819628,,89,100.0,,0,21.034579841,62.3006301469639,,28.542700729927,,,,,,
ALB,2020,77.824,1.879,68.0,,3.355071056,,8,0.0,,0,14.50832976,70.6745368974531,14.2,28.7919708029197,13.35422,30.25,,,,
ALB,2026,79.776,1.879,71.0,,2.754698399,,3,0.0,,0,13.828963945,70.7937363898968,18.0,28.7919708029197,12.72300529,30.59,,,,
AND,2000,81.863,2.557,69.0,,,,,,,,,90.63999794705,,34.0425531914894,,,,,,
AND,2010,84.197,2.949,72.0,,,,14,9.24,,16,10.408549725,90.6399982263232,,34.0425531914894,,,,,,
AND,2020,79.418,4.587,74.0,,,,,,,,7.828358907,90.6399956656599,26.7,34.0425531914894,100.0,23.23,,,,
AND,2026,84.188,5.068,75.0,,,,14,9.24,,16,6.974459681,90.6400018060858,27.3,34.0425531914894,100.0,23.32,,,,
ARE,2000,76.347,1.616,73.0,,2.449549601,,,,,,,98.1926901130339,,4.35694170656153,,,,,,
ARE,2010,81.886,1.749,72.0,,2.544557557,,2,0.0,,0,35.556323244,98.419528993262,,4.46775556181357,,,,,,
ARE,2020,81.936,2.83,84.0,,2.377881263,,38,0.0,,18,32.724562777,98.6327534590734,15.9,4.46775556181357,95.90876,42.69,,,,
ARE,2026,83.069,2.992,84.0,,1.706592121,,38,0.0,,18,34.711847619,98.6413172332089,16.1,4.46775556181357,94.98781586,43.13,,,,
ARG,2000,73.91,,74.0,,9.167123736,,,,,,,,,12.1964855354461,,,,,,
ARG,2010,75.68,,78.0,,8.541666599,,321,0.03,,139,14.095235005,,,11.0403443575999,,,,,,
ARG,2020,75.878,5.304,79.0,,8.121801799,,6661,0.0,,13,13.32387004,,9.4,10.4407148781923,36.48388,28.78,,,,
ARG,2026,77.543,5.106,80.0,,7.938106313,,22,0.0,,164,12.507267835,,9.7,10.3212951412107,23.60534859,28.99,,,,
ARM,2000,72.8804878048781,2.652,57.0,,3.54505051,,,,,,,82.6559565910346,,11.6838777660695,,,,,,
ARM,2010,73.1731707317073,2.79,65.0,,6.882701614,,84,0.0,,2,60.098819079,83.1498294127603,,11.610818405339,,,,,,
ARM,2020,73.3756097560976,3.163,71.0,,2.178752159,,89,0.0,,2,40.957441185,82.276770987299,24.3,11.6489422255448,40.08308,28.6,,,,
ARM,2026,78.319512195122,3.36,69.0,,2.45846852,,19,0.0,,0,34.881540083,82.0728191880242,38.9,11.6183158247114,0.556375623,28.83,,,,
ASM,2000,71.443,,,,,,,,,,,81.9092156400375,,88.65,,,,,,
ASM,2010,72.587,,,,,,,,,,,88.1740151274619,,87.15,,,,,,
ASM,2020,72.672,,,,,,,,,,,90.3053962335515,0.0,85.65,,,,,,
ASM,2026,72.992,,,,,,,,,,,90.5383360522023,8.7,85.2,,,,,,
ATG,2000,74.819,,76.0,,2.044359399,,,,,,,,,21.4772727272727,,,,,,
ATG,2010,76.701,,79.0,,0.0,,,,,,10.100092115,,,19.9545454545455,,,,,,
ATG,2020,77.161,,80.0,,0.773358909,,,,,,8.329623111,,0.4,18.4545454545455,,,,,,
ATG,2026,77.766,2.917,81.0,,1.455985352,,,,,,7.052890837,,0.8,18.0134090909091,,,,,,
AUS,2000,79.2341463414634,2.476,84.0,,12.82552705,,,,,,,,,17.1581557606446,,,,,,
AUS,2010,81.6951219512195,3.345,88.0,,12.13409003,,7,0.0,,0,6.320077977,,,16.862931674108,,,,,,
AUS,2020,83.2,3.895,89.0,,13.03076031,,28,1.41,,7,7.069600663,,30.4,17.4213145571644,76.1718,20.21,,,,
AUS,2026,83.0512195121951,4.086,89.0,,13.07570055,,24,1.41,,52,6.331305528,,33.5,17.4213145571644,95.77098846,19.79,,,,
AUT,2000,78.1268292682927,3.876,71.0,,19.75339006,,,,,,,96.8725407699709,,46.5116335433834,,,,,,
AUT,2010,80.5804878048781,4.827,80.0,,16.05188392,,298,0.0,,0,17.279140407,98.3995295373124,,46.8153174987882,,,,,,
AUT,2020,81.1926829268293,5.344,83.0,,13.99737716,,103,0.0,,0,11.116627805,98.900639609767,29.1,47.137905962191,98.59576,15.78,,,,
AUT,2026,81.9951219512195,5.515,84.0,,14.5130731,,60,0.0,,120,10.434912534,98.8915357232143,29.6,47.2402653902084,95.81809998,16.34,,,,
AZE,2000,65.377,3.552,54.0,,2.47562362,,,,,,,48.8163789077959,,11.9510925488772,,,,,,
AZE,2010,70.309,3.617,58.0,,2.76290034,,79,0.0,,4,43.621581678,52.3834114829109,,12.4914658343012,,,,,,
AZE,2020,70.312,3.125,67.0,,3.231137913,,262,2.3,,1,29.101683201,56.2770167492285,5.5,13.6941896764514,57.39653,58.48,,,,
AZE,2026,74.576,3.185,67.0,,1.558857505,,262,2.3,,1,25.381513036,57.8118283196096,12.0,14.1119540229885,37.43198013,58.77,,,,
BDI,2000,47.617,0.052,24.0,,10.93029584,,,,,,,,,7.55218068535826,,,,,,
BDI,2010,57.088,0.045,40.0,,7.314482301,,8,,,0,25.498565907,,,7.55218068535826,,,,,,
BDI,2020,62.569,0.069,48.0,,6.674306172,,,,,,26.542325157,,7.6,10.8894080996885,,55.33,,,,
BDI,2026,63.818,0.078,48.0,,7.651675227,,8,,,0,26.11892328,,7.6,10.8894080996885,,47.57,,,,
BEL,2000,77.7219512195122,2.829,81.0,,22.06644607,,,,,,,99.7539334647375,,21.9991428477236,,,,,,
BEL,2010,80.1829268292683,2.909,84.0,,20.52934852,,24,0.0,,0,16.793764381,99.7401516126768,,22.7432169584281,,,,,,
BEL,2020,80.6951219512195,3.506,86.0,,16.88794051,,119,0.0,,149,10.663515713,99.6022807755937,17.6,22.604446776415,91.7866,12.57,,,,
BEL,2026,82.3,3.574,86.0,,18.36102273,,146,0.0,,306,10.165518817,99.5471345182049,18.6,22.604446776415,85.36613464,11.69,,,,
BEN,2000,56.594,,25.0,,6.697387551,,,,,,,14.2088560346699,,36.6721355090458,,,,,,
BEN,2010,58.387,0.052,31.0,,7.368283284,,535,8.47,,0,22.368627939,15.5929929291529,,32.2379389854558,,,,,,
BEN,2020,60.154,,38.0,,6.89354668,,,,,,27.829323341,17.0805949788141,23.5,27.8037424618659,,35.11,,,,
BEN,2026,60.961,0.216,38.0,,7.12387721,,535,8.47,,0,27.820114507,17.6968322374867,28.8,26.4734835047889,6.687398911,38.18,,,,
BFA,2000,50.808,,19.0,,9.038342731,,,,,,,,,26.3760964912281,,,,,,
BFA,2010,56.343,0.044,32.0,,8.692069718,,572,1.25,,0,40.306537545,,,24.5486111111111,,,,,,
BFA,2020,60.454,0.096,42.0,,8.30068999,,,,,,44.281956714,,16.4,22.7207602339181,,23.47,,,,
BFA,2026,61.292,0.148,47.0,,8.498691677,,572,1.25,,0,43.370781319,,16.8,22.172514619883,2.144237041,23.17,,,,
BGD,2000,62.049,,24.0,,4.805336639,,,,,,,55.3086603889198,,14.7524629330875,,,,,,
BGD,2010,68.009,0.352,37.0,,3.720014922,,30,0.0,,0,58.235137313,55.0003330600866,,14.5067373434739,,,,,,
BGD,2020,71.421,0.661,52.0,,2.809667015,,,,,,44.559788883,58.6592547923406,4.9,14.4687716063609,16.01109,49.37,,,,
BGD,2026,74.93,0.722,54.0,,2.811823685,,1,100.0,,0,45.943816278,59.1254259857148,5.9,14.4899215263887,16.34177971,49.71,,,,
BGR,2000,71.6634146341463,3.441,62.0,,18.22020936,,,,,,,89.5960945548963,,30.507095724487,,,,,,
BGR,2010,73.5121951219512,3.747,67.0,,12.39917142,,36,0.0,,34,25.42050818,94.9131884441698,,34.4233603537214,,,,,,
BGR,2020,73.3560975609756,4.277,72.0,,10.03017285,,605,0.0,,2279,17.110516835,96.5320516616344,33.1,35.8603537214444,79.19239,35.06,,,,
BGR,2026,75.7609756097561,4.328,73.0,,9.510895225,,272,0.01,,563,14.789932823,96.2070781494387,35.6,36.2196020633751,74.64386749,37.29,,,,
BHR,2000,74.673,1.013,74.0,,10.84956898,,,,,,,98.6952615840336,,0.52112676056338,,,,,,
BHR,2010,78.593,0.971,75.0,,5.602634958,,166,11.07,,0,48.974430609,98.9231616767098,,0.68241469816273,,,,,,
BHR,2020,78.683,0.741,78.0,,5.478216735,,,,,,43.032309364,98.9039755631804,1.7,0.89171974522293,95.62908,60.13,,,,
BHR,2026,81.423,0.741,78.0,,4.659013168,,166,11.07,,0,46.207966443,98.9039755631804,20.6,0.95,94.11875916,61.1,,,,
BHS,2000,72.481,,79.0,,3.500484874,,,,,,,,,50.9350649350649,,,,,,
BHS,2010,73.449,,80.0,,3.833677672,,,,,,11.738550955,,,50.9350649350649,,,,,,
BHS,2020,72.994,,81.0,,3.104712094,,,,,,10.329434524,,8.6,50.9350649350649,,,,,,
BHS,2026,74.71,1.895,80.0,,3.252527686,,,,,,8.541838047,,8.3,50.9350649350649,,,,,,
